id;key;code;name;description;status;created_by;created_date;last_modified_by;last_modified_date
1;promptly;astride;mill instead meal;machine frail;true;instead satirise petty;2025-04-24T07:51:27;inasmuch;2025-04-24T02:30:31
2;stake ugh because;shudder outbid;eek vice;dimly beautifully cannibalise;false;oval patiently round;2025-04-24T04:31:06;focalise ugh concerning;2025-04-24T04:56:36
3;singing;viciously;and strait;huzzah around puzzled;true;around statement;2025-04-24T01:56:44;owlishly soupy;2025-04-24T14:40:49
4;on gah;misappropriate in;apud;within that;true;coop eminent;2025-04-23T20:28:57;instead;2025-04-24T11:37:55
5;burgeon toe duh;now within beyond;guacamole;boo;true;orchid;2025-04-23T21:08:42;that boo;2025-04-23T22:07:38
6;monocle;shout gruesome;stealthily spice;everlasting subexpression mmm;false;ick tiny ouch;2025-04-24T13:21:28;weight;2025-04-24T14:55:01
7;roadway stranger reassuringly;indeed when;drat aboard gah;murky;false;aha rigid;2025-04-23T18:25:33;under daintily;2025-04-24T15:00:34
8;punctuation gah;or irritably;with tousle;hepatitis;true;materialise greedy confound;2025-04-24T06:55:05;deflate to;2025-04-23T21:46:12
9;rigidly indeed anxiously;taut;incidentally vanadyl;leading ouch;false;though regarding;2025-04-24T03:57:19;furthermore;2025-04-24T00:05:12
10;misjudge attend below;duh;humor;following since coolly;true;past;2025-04-23T20:11:02;absent grouchy;2025-04-24T06:46:26
